step,error
59,C=CC(=C)C(=CCC)CC (Mutation error)
59,C=C(C)C(=C)C(=C)C (Mutation error)
60,C=CC(=C)C(=C)C (Mutation error)
60,C=CC(=C)C=C (Mutation error)
60,C=CC(=C)C(=C)CCC (Mutation error)
60,C=CC(=C)C(C)=CC (Mutation error)
61,C=CC(=C)C(=C)C (Mutation error)
61,C=CC(=C)C(=C)C(C)C (Mutation error)
61,C=CC(=C)C(=C)CCCC (Mutation error)
62,C=CC(=C)C(C=C)=C(C)C (Mutation error)
62,C=CC(=C)C(C=C)=CCCC (Mutation error)
62,C=CC(=C)C(=C)C (Mutation error)
62,C=CC(=C)C(C=C)=CCCCC (Mutation error)
62,C=CC(=C)C(=C)C(C)C (Mutation error)
62,C=CC(=C)C(C)=C(C)C (Mutation error)
62,C=CC(=C)C(=CC)CC (Mutation error)
62,C=CC(=C)C(C)=C(C)CC (Mutation error)
63,C=CC(=C)C(=C)CC (Mutation error)
63,C=CC(=C)C(=C)C(C)C (Mutation error)
63,C=CC(=C)C(=C)CCC (Mutation error)
64,C=CC(=C)C(=C)C (Mutation error)
64,C=CC(=C)C=C (Mutation error)
64,C=CC(=C)C(=C)CCC (Mutation error)
65,C=CC(=C)C(C=C)=CCC (Mutation error)
65,C=CC(=C)C(=CCC)C(=C)C (Mutation error)
65,C=CC(=C)C(=C)CC (Mutation error)
65,C=CC(=C)C=C (Mutation error)
65,C=CC(=C)C(=C)CC(C)C (Mutation error)
65,C=CC(=C)C(C)=CC (Mutation error)
66,C=CC(=C)C(C=C)=CC (Mutation error)
66,C=CC(=C)C(C=C)=CCCCC (Mutation error)
66,C=CC(=C)C=C (Mutation error)
67,C=CC(=C)C(C=C)=CC (Mutation error)
67,C=CC(=C)C(=CCC)C(=C)C (Mutation error)
67,C=CC(=C)C(=C)CC (Mutation error)
67,C=CC(=C)C=C (Mutation error)
68,C=CC(=C)C(=CCC)C(=C)C (Mutation error)
68,C=CC(=C)C(=C)C (Mutation error)
68,C=CC(=C)C=C (Mutation error)
68,C=CC(=C)C(=C)CC(C)C (Mutation error)
