step,error
97,Cc1ccccc1 (Mutation error)
97,C1=CC(c2ccccc2)C1 (Mutation error)
97,c1cc2ccc1-2 (Mutation error)
97,c1cc2cc-2c1 (Mutation error)
97,C1=Cc2ccccc21 (Mutation error)
97,CC(C)c1ccccc1 (Mutation error)
98,C1=C(c2ccccc2)CCCC1 (Mutation error)
98,c1ccccc1 (Mutation error)
98,Cc1ccccc1 (Mutation error)
98,c1cc2ccc1-2 (Mutation error)
98,C=Cc1ccccc1 (Mutation error)
98,C1=Cc2ccccc21 (Mutation error)
99,C1=C(c2ccccc2)CCC1 (Mutation error)
99,c1ccccc1 (Mutation error)
99,c1cc2ccc1-2 (Mutation error)
99,c1cc2cc-2c1 (Mutation error)
99,C=Cc1ccccc1 (Mutation error)
99,CCc1ccccc1 (Mutation error)
99,C1=Cc2ccccc21 (Mutation error)
99,C1=CCC(c2ccccc2)C1 (Mutation error)
99,C1=CC(c2ccccc2)CC1 (Mutation error)
99,C=C(C)c1ccccc1 (Mutation error)
99,C=CCc1ccccc1 (Mutation error)
99,CC=Cc1ccccc1 (Mutation error)
99,CC(C)(C)c1ccccc1 (Mutation error)
99,C1=Cc2ccccc2C1 (Mutation error)
99,C=C(C)Cc1ccccc1 (Mutation error)
99,CC1CC1c1ccccc1 (Mutation error)
99,CC1(c2ccccc2)CC1 (Mutation error)
100,C1=C(c2ccccc2)CC1 (Mutation error)
100,CC1C=C(c2ccccc2)C1 (Mutation error)
100,c1ccccc1 (Mutation error)
100,Cc1ccccc1 (Mutation error)
100,C1=C(c2ccccc2)CCCCCC1 (Mutation error)
100,C=Cc1ccccc1 (Mutation error)
101,C1=C(c2ccccc2)CCC1 (Mutation error)
101,c1ccccc1 (Mutation error)
101,C1=CC1c1ccccc1 (Mutation error)
101,C1=CC(c2ccccc2)C1 (Mutation error)
101,c1cc2cc-2c1 (Mutation error)
101,CCc1ccccc1 (Mutation error)
102,C1=CCC=1c1ccccc1 (Mutation error)
102,c1ccccc1 (Mutation error)
102,C1=CC1c1ccccc1 (Mutation error)
102,c1cc2ccc1-2 (Mutation error)
102,CCc1ccccc1 (Mutation error)
102,C=Cc1ccccc1 (Mutation error)
103,C1=CC=1c1ccccc1 (Mutation error)
103,C1=C(c2ccccc2)CC1 (Mutation error)
103,C1=CCC=1c1ccccc1 (Mutation error)
103,CC1C=C(c2ccccc2)C1 (Mutation error)
103,c1ccccc1 (Mutation error)
103,Cc1ccccc1 (Mutation error)
104,C1=CC=1c1ccccc1 (Mutation error)
105,C1=CC=1c1ccccc1 (Mutation error)
105,C1=CCC=1c1ccccc1 (Mutation error)
105,C1=C(c2ccccc2)CCC1 (Mutation error)
106,C1=CCC=1c1ccccc1 (Mutation error)
106,CC1=C=C1c1ccccc1 (Mutation error)
106,CC1CCC=C1c1ccccc1 (Mutation error)
106,c1ccccc1 (Mutation error)
106,C1=CC1c1ccccc1 (Mutation error)
107,CC1C=C1c1ccccc1 (Mutation error)
107,C1=C(c2ccccc2)CC1 (Mutation error)
107,C1=CCC=1c1ccccc1 (Mutation error)
107,CC1CCC=C1c1ccccc1 (Mutation error)
107,c1ccccc1 (Mutation error)
107,C1=CC1c1ccccc1 (Mutation error)
107,Cc1ccccc1 (Mutation error)
108,C1=C(c2ccccc2)C1 (Mutation error)
108,C1=CC=1c1ccccc1 (Mutation error)
108,CC1C=C1c1ccccc1 (Mutation error)
108,C1=CCC=1c1ccccc1 (Mutation error)
108,C1=C(c2ccccc2)CCC1 (Mutation error)
108,c1ccc(C2=C3CCC32)cc1 (Mutation error)
108,c1ccccc1 (Mutation error)
108,C1=C2CC12c1ccccc1 (Mutation error)
108,C1=CC(c2ccccc2)C1 (Mutation error)
108,c1cc2ccc1-2 (Mutation error)
109,C1=CC=1c1ccccc1 (Mutation error)
109,c1ccc(C2=C3CCC32)cc1 (Mutation error)
109,C1=C(c2ccccc2)CCCC1 (Mutation error)
109,c1ccccc1 (Mutation error)
111,C1=CC=1c1ccccc1 (Mutation error)
111,CC1C=C(c2ccccc2)C1 (Mutation error)
111,C1=C(c2ccccc2)CCC1 (Mutation error)
111,CC1CCC=C1c1ccccc1 (Mutation error)
111,C1=C(c2ccccc2)CCCC1 (Mutation error)
111,C1=CC1c1ccccc1 (Mutation error)
112,C1=C(c2ccccc2)C1 (Mutation error)
112,CC1=C(c2ccccc2)C1 (Mutation error)
112,CC1C=C(c2ccccc2)CC1 (Mutation error)
112,CC1CC=C(c2ccccc2)C1 (Mutation error)
113,C1=CC=1c1ccccc1 (Mutation error)
113,CC1C=C1c1ccccc1 (Mutation error)
113,C1=CCC=1c1ccccc1 (Mutation error)
114,C1=C(c2ccccc2)C1 (Mutation error)
114,C1=CCC=1c1ccccc1 (Mutation error)
114,C1=C(c2ccccc2)CC1 (Mutation error)
114,C1=C(c2ccccc2)CCC1 (Mutation error)
114,CC1CCC=C1c1ccccc1 (Mutation error)
114,CC1CC=C(c2ccccc2)C1 (Mutation error)
115,C1=C(c2ccccc2)C1 (Mutation error)
115,C1=C(c2ccccc2)CC1 (Mutation error)
115,CC1C=C(c2ccccc2)C1 (Mutation error)
