step,error
137,CCc1ccc2c3cccc2c13 (Mutation error)
138,c1cc2c3ccc4c1c3c42 (Mutation error)
138,c1cc2c3c-2cccc3c1 (Mutation error)
138,Cc1cccc2ccccc12 (Mutation error)
138,Cc1cccc2cccc(C)c12 (Mutation error)
138,C1#Cc2cccc3cccc1c23 (Mutation error)
138,Cc1cccc2c(C)cccc12 (Mutation error)
138,c1cc2c3c4cc-3c2c4c1 (Mutation error)
138,CCC(C)c1cccc2ccccc12 (Mutation error)
139,c1cc2c3ccc4c1c3c42 (Mutation error)
139,Cc1ccc2c3cccc=2c13 (Mutation error)
139,CCc1ccc2c3cccc2c13 (Mutation error)
139,Cc1cccc2cccc(C)c12 (Mutation error)
139,CCc1cccc2ccccc12 (Mutation error)
139,CCCc1cccc2ccccc12 (Mutation error)
140,c1cc2c3ccc4c1c3c42 (Mutation error)
140,Cc1ccc2c3cccc2c13 (Mutation error)
140,CCc1ccc2c3cccc=2c13 (Mutation error)
140,Cc1cccc2cccc(C)c12 (Mutation error)
140,CCc1cccc2cccc(C)c12 (Mutation error)
141,c1cc2c3cccc2c3c1 (Mutation error)
141,c1ccc2ccccc2c1 (Mutation error)
141,Cc1ccc2c3cccc2c13 (Mutation error)
141,CCc1ccc2c3cccc2c13 (Mutation error)
141,Cc1cccc2ccccc12 (Mutation error)
142,c1ccc2ccccc2c1 (Mutation error)
142,CCc1ccc2c3cccc=2c13 (Mutation error)
142,Cc1cccc2cccc(C)c12 (Mutation error)
143,CCc1ccc2c3cccc2c13 (Mutation error)
144,c1cc2c3cccc2c3c1 (Mutation error)
144,c1cc2c3ccc4c1c3c42 (Mutation error)
144,c1ccc2ccccc2c1 (Mutation error)
144,c1cc2c3c-2cccc3c1 (Mutation error)
144,CCc1ccc2c3cccc=2c13 (Mutation error)
144,Cc1cccc2ccccc12 (Mutation error)
144,Cc1cccc2cccc(C)c12 (Mutation error)
144,C1#Cc2cccc3cccc1c23 (Mutation error)
144,CCc1cccc2cccc(C)c12 (Mutation error)
144,c1cc2c3cc4c(c2c3c1)C4 (Mutation error)
144,Cc1cccc2c(C)cccc12 (Mutation error)
144,c1cc2c3c4cc-3c2c4c1 (Mutation error)
145,c1ccc2ccccc2c1 (Mutation error)
145,CCc1ccc2c3cccc=2c13 (Mutation error)
145,Cc1cccc2ccccc12 (Mutation error)
145,Cc1cccc2cccc(C)c12 (Mutation error)
145,CCc1cccc2ccccc12 (Mutation error)
146,c1cc2c3cccc2c3c1 (Mutation error)
146,c1ccc2ccccc2c1 (Mutation error)
146,c1cc2c3ccc4c1c3c42 (Mutation error)
146,Cc1ccc2c3cccc2c13 (Mutation error)
146,c1cc2c3c-2cccc3c1 (Mutation error)
146,CCc1ccc2c3cccc2c13 (Mutation error)
146,CC=Cc1ccc2c3cccc2c13 (Mutation error)
146,Cc1cccc2cccc(C)c12 (Mutation error)
146,C1#Cc2cccc3cccc1c23 (Mutation error)
146,c1cc2c3cc4c(c2c3c1)C4 (Mutation error)
146,Cc1cccc2c(C)cccc12 (Mutation error)
147,c1cc2c3ccc4c1c3c42 (Mutation error)
147,c1ccc2ccccc2c1 (Mutation error)
147,Cc1ccc2c3cccc2c13 (Mutation error)
147,Cc1ccc2c3cccc=2c13 (Mutation error)
147,c1cc2c3c-2cccc3c1 (Mutation error)
147,CCc1ccc2c3cccc2c13 (Mutation error)
147,Cc1cccc2cccc(C)c12 (Mutation error)
148,c1ccc2ccccc2c1 (Mutation error)
148,Cc1ccc2c3cccc2c13 (Mutation error)
148,CCc1ccc2c3cccc=2c13 (Mutation error)
148,Cc1cccc2ccccc12 (Mutation error)
148,Cc1cccc2cccc(C)c12 (Mutation error)
148,CCc1cccc2ccccc12 (Mutation error)
148,CCc1cccc2cccc(C)c12 (Mutation error)
149,c1cc2c3cccc2c3c1 (Mutation error)
149,c1ccc2ccccc2c1 (Mutation error)
149,c1cc2c3ccc4c1c3c42 (Mutation error)
