smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
C1=CC=1c1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,6,670,0.7283950617283951,0.7283950617283951,0.0008301734924316406,
C#CC1CC1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,34,639,0.7341772151898734,0.7341772151898734,0.0008137226104736328,
CC1=C2C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C12C,1,337,0.725,0.725,0.0008475780487060547,
C=C=c1ccc2ccc3ccc4c1c1c5ccc(cc5)c1c2c34,3,683,0.7297297297297297,0.7297297297297297,0.0007383823394775391,
C=C=CC(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,246,0.7160493827160493,0.7160493827160493,0.0008211135864257812,
CC12C#CC1C2=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,251,0.7160493827160493,0.7160493827160493,0.0008680820465087891,
C1#CC1c1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,2,636,0.7283950617283951,0.7283950617283951,0.0008831024169921875,
CC(C=C1C=C1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,250,0.7160493827160493,0.7160493827160493,0.0008270740509033203,
c1cc2ccc3ccc1c1c(=C4C5C6CC45C6)c2c2c4ccc(cc4)c2c31,1,230,0.7160493827160493,0.7160493827160493,0.0009925365447998047,
C(=C1CCC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,12,692,0.7341772151898734,0.7341772151898734,0.0008604526519775391,
C#CC(C1=CC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,222,0.7160493827160493,0.7160493827160493,0.0008199214935302734,
C1#CC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C#C1,0,287,0.725,0.725,0.0008761882781982422,
C(=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C12C3C14CC324,3,222,0.7160493827160493,0.7160493827160493,0.0009677410125732422,
CCCc1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,7,702,0.7283950617283951,0.7283950617283951,0.0007774829864501953,
C#CC=C=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,23,562,0.7341772151898734,0.7341772151898734,0.0008528232574462891,
c1cc2ccc3ccc4cc1c1c5c(c6c2c2c7ccc(cc7)c2c3c46)C51,3,588,0.7283950617283951,0.7283950617283951,0.0010116100311279297,
C=C=Cc1cc2c1c1c3ccc4ccc(cc3)c1c1c3ccc(cc3)c1c42,0,2,0.7283950617283951,0.7283950617283951,0.0007932186126708984,
CC=CC(C)=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,243,0.7160493827160493,0.7160493827160493,0.0008742809295654297,
CC1=CC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1C,4,252,0.7160493827160493,0.7160493827160493,0.0008795261383056641,
C=CC=C=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,27,659,0.7341772151898734,0.7341772151898734,0.0008213520050048828,
CC12C3=C(C1=c1c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c16)C32,2,240,0.7160493827160493,0.7160493827160493,0.0008704662322998047,
CC(C1=CCC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,238,0.7160493827160493,0.7160493827160493,0.0008313655853271484,
