rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_mean,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_med,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_min,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_max,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.08032035594173922,0.06840463458110517,0.0,0.3142857142857143,0.05573115913560501,0.08032035594173922,0.06840463458110517,0.0,0.3142857142857143,0.05573115913560501,1103,10,2.571620225906372,0,0,5,0,0,0,0,0
0.08163517169951956,0.06976744186046512,0.0,0.3142857142857143,0.05564561969348119,0.08163517169951956,0.06976744186046512,0.0,0.3142857142857143,0.05564561969348119,1113,10,2.59873366355896,0,0,5,0,0,0,0,0
0.08286718889543238,0.07058823529411765,0.0,0.3142857142857143,0.05545797306969069,0.08286718889543238,0.07058823529411765,0.0,0.3142857142857143,0.05545797306969069,1123,10,2.628392457962036,0,0,12,0,0,0,0,0
0.08425704800049404,0.07058823529411765,0.010526315789473684,0.3142857142857143,0.05595749437639567,0.08425704800049404,0.07058823529411765,0.010526315789473684,0.3142857142857143,0.05595749437639567,1134,10,2.6583127975463867,0,1,6,0,0,0,0,0
0.08602888478361174,0.07216494845360824,0.010752688172043012,0.3142857142857143,0.056837081852115605,0.08602888478361174,0.07216494845360824,0.010752688172043012,0.3142857142857143,0.056837081852115605,1144,10,2.684659957885742,0,0,6,0,0,0,0,0
0.0873006702117189,0.07317073170731707,0.011235955056179775,0.3142857142857143,0.05673266714904996,0.0873006702117189,0.07317073170731707,0.011235955056179775,0.3142857142857143,0.05673266714904996,1154,10,2.7182116508483887,0,0,12,0,0,0,0,0
0.08884741705924658,0.07513440860215054,0.011494252873563218,0.3142857142857143,0.05704642699966719,0.08884741705924658,0.07513440860215054,0.011494252873563218,0.3142857142857143,0.05704642699966719,1164,10,2.7437775135040283,0,0,6,0,0,0,0,0
0.0904388403091828,0.0759493670886076,0.011627906976744186,0.3142857142857143,0.05739526042610506,0.0904388403091828,0.0759493670886076,0.011627906976744186,0.3142857142857143,0.05739526042610506,1175,10,2.7742347717285156,0,1,15,0,0,0,0,0
0.09172114427277538,0.07777777777777778,0.011904761904761904,0.3142857142857143,0.05729389106853911,0.09172114427277538,0.07777777777777778,0.011904761904761904,0.3142857142857143,0.05729389106853911,1185,10,2.801892042160034,0,0,3,0,0,0,0,0
0.09308211741291712,0.07777777777777778,0.012195121951219513,0.3142857142857143,0.057281167998190156,0.09308211741291712,0.07777777777777778,0.012195121951219513,0.3142857142857143,0.057281167998190156,1195,10,2.8285107612609863,0,0,5,0,0,0,0,0
0.09445480621352408,0.08045977011494253,0.01282051282051282,0.3142857142857143,0.0572325918898867,0.09445480621352408,0.08045977011494253,0.01282051282051282,0.3142857142857143,0.0572325918898867,1205,10,2.856508255004883,0,0,5,0,0,0,0,0
0.09594552991463733,0.08045977011494253,0.02127659574468085,0.3142857142857143,0.057369992580082615,0.09594552991463733,0.08045977011494253,0.02127659574468085,0.3142857142857143,0.057369992580082615,1215,10,2.8808414936065674,0,0,1,0,0,0,0,0
0.09722634028197964,0.08333333333333333,0.02247191011235955,0.3142857142857143,0.0573135290665156,0.09722634028197964,0.08333333333333333,0.02247191011235955,0.3142857142857143,0.0573135290665156,1225,10,2.906057357788086,0,0,0,0,0,0,0,0
0.09869536743254742,0.08622062923138192,0.022988505747126436,0.3142857142857143,0.0576315849452707,0.09869536743254742,0.08622062923138192,0.022988505747126436,0.3142857142857143,0.0576315849452707,1237,10,2.9372804164886475,0,2,8,0,0,0,0,0
0.09991412080482279,0.08764536434439348,0.023255813953488372,0.3142857142857143,0.05774970676753264,0.09991412080482279,0.08764536434439348,0.023255813953488372,0.3142857142857143,0.05774970676753264,1247,10,2.96004319190979,0,0,4,0,0,0,0,0
0.10130931103441891,0.08888888888888889,0.023809523809523808,0.3142857142857143,0.057918637857629976,0.10130931103441891,0.08888888888888889,0.023809523809523808,0.3142857142857143,0.057918637857629976,1257,10,2.991607189178467,0,0,11,0,0,0,0,0
0.10236462501007836,0.0898876404494382,0.024691358024691357,0.3142857142857143,0.057962869769339204,0.10236462501007836,0.0898876404494382,0.024691358024691357,0.3142857142857143,0.057962869769339204,1267,10,3.018497943878174,0,0,3,0,0,0,0,0
0.10389558406500138,0.09195402298850575,0.03,0.3142857142857143,0.0581275999059611,0.10389558406500138,0.09195402298850575,0.03,0.3142857142857143,0.0581275999059611,1278,10,3.0442075729370117,0,1,4,0,0,0,0,0
0.105294791620926,0.09302325581395349,0.031578947368421054,0.3142857142857143,0.058158466836985986,0.105294791620926,0.09302325581395349,0.031578947368421054,0.3142857142857143,0.058158466836985986,1291,10,3.0775644779205322,0,3,3,0,0,0,0,0
