rediscovery_C(=Cc1ccccc1)c1ccccc1_mean,rediscovery_C(=Cc1ccccc1)c1ccccc1_med,rediscovery_C(=Cc1ccccc1)c1ccccc1_min,rediscovery_C(=Cc1ccccc1)c1ccccc1_max,rediscovery_C(=Cc1ccccc1)c1ccccc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5580773251496922,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015688939215052468,0.5580773251496922,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015688939215052468,130425,10,337.1649763584137,0,1373,153,0,0,0,0,0
0.5581741282525013,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015654846805366624,0.5581741282525013,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015654846805366624,131168,10,339.08654499053955,0,733,102,0,0,0,0,0
0.5582800258773236,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015638516527027715,0.5582800258773236,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015638516527027715,132614,10,342.84850311279297,0,1436,129,0,0,0,0,0
0.558340198500529,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015600449806397885,0.558340198500529,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015600449806397885,133490,10,345.0847864151001,0,866,100,0,0,0,0,0
0.5584334214454738,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015580357477264183,0.5584334214454738,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015580357477264183,134428,10,347.48390340805054,0,928,93,0,0,0,0,0
0.5585622153655413,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015569432538058583,0.5585622153655413,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015569432538058583,135193,10,349.4896490573883,0,755,111,0,0,0,0,0
0.558643309663738,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015543375752541494,0.558643309663738,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015543375752541494,135992,10,351.5976366996765,0,789,98,0,0,0,0,0
0.5587674650400706,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015531367005162344,0.5587674650400706,0.5538461538461539,0.5409836065573771,0.6296296296296297,0.015531367005162344,137111,10,354.50109791755676,0,1109,114,0,0,0,0,0
0.5588441227870614,0.5538461538461539,0.5423728813559322,0.6296296296296297,0.015485212651516419,0.5588441227870614,0.5538461538461539,0.5423728813559322,0.6296296296296297,0.015485212651516419,138438,10,358.00445461273193,0,1317,122,0,0,0,0,0
0.5589460805955861,0.5538461538461539,0.5423728813559322,0.6296296296296297,0.01544092517466578,0.5589460805955861,0.5538461538461539,0.5423728813559322,0.6296296296296297,0.01544092517466578,139335,10,360.37422919273376,0,887,109,0,0,0,0,0
