step,error
41,C1=CC12C1=CCC2=C1 (Mutation error)
41,C1=C2C=C12 (Mutation error)
41,C1=CC=C1 (Mutation error)
41,CC1=CC=C1 (Mutation error)
41,C1=CC12C=C2 (Mutation error)
41,C1=C2C=C2C1 (Mutation error)
41,C1=CC2=CC=12 (Mutation error)
41,C1=CC2C=C12 (Mutation error)
41,CC1=C(C)C=C1 (Mutation error)
41,CC1=CC(C)=C1 (Mutation error)
42,C1=C2C=C12 (Mutation error)
42,C1=CC=C1 (Mutation error)
42,C1=C2C=C1C2 (Mutation error)
42,CC1=CC=C1 (Mutation error)
42,C1=CC12C=C2 (Mutation error)
42,C1=C2C3=CC123 (Mutation error)
42,CC=C1C=C1 (Mutation error)
42,C1=CC2C=C12 (Mutation error)
42,CC1C2=CC1=C2 (Mutation error)
42,C1=CC2=CC=12 (Mutation error)
42,C1=C2C=C2C1 (Mutation error)
42,CC1=C(C)C=C1 (Mutation error)
42,CC1=CC(C)=C1 (Mutation error)
42,CC1=CC=C1C (Mutation error)
42,C1=CCC=C1 (Mutation error)
42,CC1=CC=CC1 (Mutation error)
42,C1=C2C=C1CC2 (Mutation error)
42,CC1C=CC=C1 (Mutation error)
42,C1=CC2CC=C12 (Mutation error)
42,C1=C2C=C(C1)C2 (Mutation error)
43,C1=CC=C1 (Mutation error)
43,C1=C2C=C1C2 (Mutation error)
43,CC1=CC=C1 (Mutation error)
43,C1=CC12C=C2 (Mutation error)
43,C1=C2C3=CC123 (Mutation error)
43,C1=CC2C=C12 (Mutation error)
43,C1=C2C=C2C1 (Mutation error)
43,CC1C2=CC1=C2 (Mutation error)
43,CC1=CC(C)=C1 (Mutation error)
43,CCC1=CC=C1 (Mutation error)
43,CC1C2=C1C=C2 (Mutation error)
44,C1=CC12C1=CCC2=C1 (Mutation error)
44,C1=CC=C1 (Mutation error)
44,C1=C2C=C12 (Mutation error)
44,C1=C2C=C1C2 (Mutation error)
44,C1=CC12C=C2 (Mutation error)
44,CC1C2=CC1=C2 (Mutation error)
44,C1=CC2C=C12 (Mutation error)
44,C1=C2C=C2C1 (Mutation error)
44,CC1=CC(C)=C1 (Mutation error)
44,C1=CCC=C1 (Mutation error)
44,C1=CC=CC=1 (Mutation error)
44,CC1=CC=C1C (Mutation error)
44,CCC1=CC=C1 (Mutation error)
44,C1=C2CC13C=C23 (Mutation error)
45,C1=C2C=C12 (Mutation error)
45,C1=CC=C1 (Mutation error)
45,C1=C2C=C1C2 (Mutation error)
45,C1=C2C3=CC123 (Mutation error)
45,CC=C1C=C1 (Mutation error)
45,CC1C2=CC1=C2 (Mutation error)
45,C1=CC2C=C12 (Mutation error)
45,C1=CCC=C1 (Mutation error)
45,CC1=CC=C1C (Mutation error)
46,C1=CC12C1=CC2=C1 (Mutation error)
46,C1=C2C=C12 (Mutation error)
46,C1=C2C=C1C2 (Mutation error)
46,CC1=CC=C1 (Mutation error)
46,CC=C1C=C1 (Mutation error)
46,C1=CC12C=C2 (Mutation error)
46,C1=C2C=C2C1 (Mutation error)
46,CC1C2=CC1=C2 (Mutation error)
46,CC1=C(C)C=C1 (Mutation error)
47,C1=CC12C1=CCCC2=C1 (Mutation error)
47,C1=CC=C1 (Mutation error)
47,C1=C2C=C12 (Mutation error)
47,C1=C2C=C1C2 (Mutation error)
47,CC1=CC=C1 (Mutation error)
47,C1=C2C3=CC123 (Mutation error)
47,CC=C1C=C1 (Mutation error)
47,C1=C2C=C2C1 (Mutation error)
47,CC1C2=CC1=C2 (Mutation error)
47,C1=CC2C=C12 (Mutation error)
47,C1=CCC=C1 (Mutation error)
47,CC1=CC(C)=C1 (Mutation error)
47,CC=C1C=C1C (Mutation error)
47,C1=CC=CC=1 (Mutation error)
47,CC1=CC=C1C (Mutation error)
47,CC12C=CC1=C2 (Mutation error)
48,C1=CC=C1 (Mutation error)
48,C1=C2C=C12 (Mutation error)
48,CC1=CC=C1 (Mutation error)
48,CC=C1C=C1 (Mutation error)
48,C1=C2C3=CC123 (Mutation error)
48,C1=C2C=C2C1 (Mutation error)
48,C1=CC2C=C12 (Mutation error)
48,CC1C2=CC1=C2 (Mutation error)
48,C1=CCC=C1 (Mutation error)
48,CC1=CC(C)=C1 (Mutation error)
48,CC=C1C=C1C (Mutation error)
49,C1=CC12C1=CCCC2=C1 (Mutation error)
49,C1=CC=C1 (Mutation error)
49,C1=C2C=C12 (Mutation error)
49,C1=C2C=C1C2 (Mutation error)
49,CC1=CC=C1 (Mutation error)
49,C1=C2C3=CC123 (Mutation error)
49,C1=CC12C=C2 (Mutation error)
49,C1=C2C=C2C1 (Mutation error)
49,CC1C2=CC1=C2 (Mutation error)
49,C1=CC2=CC=12 (Mutation error)
49,C1=CCC=C1 (Mutation error)
49,CC1=C(C)C=C1 (Mutation error)
49,CC1=CC=C1C (Mutation error)
50,c1c2ccc-2c#1 (Mutation error)
50,C1=CC12C1=CC2=C1 (Mutation error)
50,C1=CC12C1=CCC2=C1 (Mutation error)
50,C1=CC12C1=CCCC2=C1 (Mutation error)
50,C1=C2C=C12 (Mutation error)
50,C1=CC=C1 (Mutation error)
50,C1=C2C=C1C2 (Mutation error)
50,CC1=CC=C1 (Mutation error)
50,C1=C2C3=CC123 (Mutation error)
50,C1=CC12C=C2 (Mutation error)
50,C1=CC2=CC=12 (Mutation error)
50,C1=C2C=C2C1 (Mutation error)
50,CC1C2=CC1=C2 (Mutation error)
50,C1=CC2C=C12 (Mutation error)
50,C1=CCC=C1 (Mutation error)
50,C1=CC=CC=1 (Mutation error)
50,CC1=C(C)C=C1 (Mutation error)
51,C1=CC12C1=CC2=C1 (Mutation error)
51,C1=CC12CC1=CC2=CC1 (Mutation error)
51,C1=CC2(C1)CC1=CC2=CC1 (Mutation error)
51,C1=C2C=C12 (Mutation error)
51,C1=CC=C1 (Mutation error)
51,C1=C2C=C1C2 (Mutation error)
51,CC1=C2CC=C1C21C=C1 (Mutation error)
51,CC=C1C=C1 (Mutation error)
51,C1=CC12C=C2 (Mutation error)
51,C1=C2C3=CC123 (Mutation error)
51,C1=C2CC2=C1 (Mutation error)
51,C1=C2C=C2C1 (Mutation error)
51,CC1C2=CC1=C2 (Mutation error)
52,C1=CC12C1=CC2=C1 (Mutation error)
52,C1=CC(C2C=C2)=C1 (Mutation error)
52,C1=CC12C1=CCCC2=C1 (Mutation error)
52,C1=CC2(C1)CC1=CC2=CC1 (Mutation error)
52,CC1=C2C=C1C21C=C1 (Mutation error)
52,C1=C2C=C12 (Mutation error)
52,C1=CC=C1 (Mutation error)
52,C1=C2C=C1C2 (Mutation error)
52,CC1=CC=C1 (Mutation error)
52,CC=C1C=C1 (Mutation error)
52,C1=CC12C=C2 (Mutation error)
52,C1=CC2=CC=12 (Mutation error)
53,CC1=CC1C1=CC=C1 (Mutation error)
54,c1c2ccc-2c#1 (Mutation error)
54,CC1=C(C2C=C2)C=C1 (Mutation error)
54,C1=CC12C1=CCC2=C1 (Mutation error)
54,CC1C2=CC(=CC2)C12C=C2 (Mutation error)
54,CC1=CC12C1=CC2=C1 (Mutation error)
55,c1c2ccc-2c#1 (Mutation error)
55,C1=CC(C2C=C2)=C1 (Mutation error)
55,CC1=CC1C1=CCC=C1 (Mutation error)
55,C1=CC12CC1=CC2=CC1 (Mutation error)
55,C1=CC2=CC=1C1(C=C1)C2 (Mutation error)
55,C1=CC12C1=CCCC2=C1 (Mutation error)
55,C1=CC2(C1)C1=CCC2=C1 (Mutation error)
55,CC=C1CC(C)=CC12C=C2 (Mutation error)
55,C1=CC=C1 (Mutation error)
55,C1=C2C=C12 (Mutation error)
56,C1=CC12C1=CC2=C1 (Mutation error)
