[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.4338963031768799] Updated in round 121! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.18181818181818182, 'C#Cc1cccc2c1C=C2')
[0.446012020111084] Updated in round 122! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.18518518518518517, 'C=Cc1ccc(C=C)cc1')
[0.44709205627441406] Updated in round 123! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.18840579710144928, 'C=CC=CC(=C)c1c#cccccc2cc1-2')
[0.44808340072631836] Updated in round 124! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.18840579710144928, 'C#Cc1ccccc1C1=C(C2=C3C=C32)C#C1')
[0.44907259941101074] Updated in round 125! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.19117647058823528, 'C=Cc1ccccc1C1=C(C2=CC2=C)C#C1')
[0.4499490261077881] Updated in round 126! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.1917808219178082, 'C#CC(=C)C#CC(=CC=CC=C)c1ccccc1')
[0.4635598659515381] Updated in round 127! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2, 'c1c2ccc3ccc(cc3)c=2c#1')
[0.4645552635192871] Updated in round 128! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2037037037037037, 'C#Cc1cc2ccc1cc2')
[0.4656260013580322] Updated in round 129! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.20588235294117646, 'C=CC=CC#CC(=CC=C)c1ccccc1')
[0.4667825698852539] Updated in round 130! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.20689655172413793, 'C#Cc1cccc(C2=CC#C2)c1')
[0.4833991527557373] Updated in round 131! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.21052631578947367, 'C#CC(=C)c1ccccc1C=C')
[0.4844706058502197] Updated in round 132! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2191780821917808, 'C=C1c2c#cc3cc(cccc21)c1cccc3c1')
[0.4854898452758789] Updated in round 133! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2222222222222222, 'C1#CC2=C1C(=C1C=C1)c1ccccc12')
[0.48653674125671387] Updated in round 134! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.22535211267605634, 'C#Cc1cc#cc(C(=C)C=CC=C)ccccc1')
[0.4875752925872803] Updated in round 135! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.22641509433962265, 'C=C1C#Cc2ccccc21')
[0.48856496810913086] Updated in round 136! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2328767123287671, 'C1#CC2=C(C#C2)C2=CC=CC=C1c1cccc2c1')
[0.48956847190856934] Updated in round 137! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.23529411764705882, 'c1c2c3cccc(c3)c3cccc(c3)c=2c#1')
[0.49056410789489746] Updated in round 138! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.23809523809523808, 'c1cc2cc(c1)c1ccc3cc2-c3c1')
[0.4915740489959717] Updated in round 139! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.23943661971830985, 'C=CC=CC(=C)c1c#cc2c(ccccc1)C=C2')
[0.4925546646118164] Updated in round 140! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.25, 'c1c2c#cc2c2ccccc(c#1)c1ccc2cc1')
[0.5055947303771973] Updated in round 141! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.25, 'C=CC#CC(=C)c1ccccc1')
[0.5064520835876465] Updated in round 142! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2535211267605634, 'C=CC1=CC#CC2=CC=CC=C1c1cccc2c1')
