[7.319450378417969e-05]Start running EvoMol from [H][H]...
[0.5912666320800781] Updated in round 163! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.32, 'c1cc2cc(c1)-c1c-2cc2cc1-2')
[0.5928077697753906] Updated in round 164! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3225806451612903, 'C=CC1=CC(c2cc3ccc2-c2cccc-3c2)=C1')
[0.5939304828643799] Updated in round 165! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3225806451612903, 'C#CC1=C2C1=C2c1cccc2c1-c1cccc-2c1')
[0.6138224601745605] Updated in round 166! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3225806451612903, 'C#Cc1ccc(-c2cccc(C=C3C=C3)c2)cc1')
[0.633530855178833] Updated in round 167! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.32653061224489793, 'C=C1C=CC=Cc2ccccc21')
[0.6354749202728271] Updated in round 168! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3275862068965517, 'C=CC#Cc1cccc2c1-c1ccccc1-2')
[0.6374711990356445] Updated in round 169! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3275862068965517, 'C#CC=Cc1cc2ccc1-c1cccc-2c1')
[0.6596941947937012] Updated in round 170! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3333333333333333, 'C1=Cc2ccc(cc2)-c2cccc(c2)C2=CC2=C1')
[0.6622135639190674] Updated in round 171! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3333333333333333, 'C=Cc1ccc(-c2ccccc2C=C)cc1')
[0.6821565628051758] Updated in round 172! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3384615384615385, 'C#Cc1cccc(-c2cccc(-c3c4c5cc4c35)c2)c1')
[0.6837012767791748] Updated in round 173! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3384615384615385, 'C#CC1=C2C1=C2c1cccc(-c2cccc(C#C)c2)c1')
[0.6857576370239258] Updated in round 174! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3387096774193548, 'C=CC=C1C=C1c1cccc(-c2c3cccc2-3)c1')
[0.6877079010009766] Updated in round 175! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3387096774193548, 'C=CC1=CC2=C1c1ccc(cc1)-c1cccc2c1')
[0.6893017292022705] Updated in round 176! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.33962264150943394, 'C=C1c2ccc(cc2)-c2ccc1cc2')
[0.6910667419433594] Updated in round 177! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3442622950819672, 'C=C1C=C(c2cccc3c2-c2cccc-3c2)C1=C')
