smiles,n_success_mut,n_failures_mut,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,total,obj_computation_time,history_data
C=CC=CC=CC=CC=CC=CC(C=CC=CC=CC=C)CC,0,0,0.6190476190476191,0.6190476190476191,0.0003807544708251953,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC1=CC1,0,0,0.5795454545454546,0.5795454545454546,0.00041604042053222656,
C=CC=CC=CC=CC=CC=CCC(C)C=CC=CC=C,0,0,0.5476190476190477,0.5476190476190477,0.0003371238708496094,
CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,36,85,0.675,0.675,0.0003743171691894531,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCC=C,68,130,0.6794871794871795,0.6794871794871795,0.0003399848937988281,
C=CC=CC=CC=CC=CC=CC=CC=CCC(=C)C=C,0,0,0.5662650602409639,0.5662650602409639,0.000335693359375,
C=CCC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.6867469879518072,0.6867469879518072,0.000415802001953125,
C=CC=CCC=CC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.6666666666666666,0.6666666666666666,0.00040841102600097656,
C=CC=CC=CC=CC=CC=CC=CC=CC(C)(C)C=C,6,3,0.573170731707317,0.573170731707317,0.0003426074981689453,
C=CC(C=C)=CC=CC=CC=CC=CC=CC=CC=CC=CCCC,0,0,0.5604395604395604,0.5604395604395604,0.0004248619079589844,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)C#CCC,0,0,0.5617977528089888,0.5617977528089888,0.0004153251647949219,
C=CC=CC=CC=CC=CC=CC=CCC=CC=CC=C,52,70,0.6582278481012658,0.6582278481012658,0.0003418922424316406,
C=CC=CC(=CC=CC=CC=CC=CC=CC=CC=CC)CC=C,0,0,0.5617977528089888,0.5617977528089888,0.0003993511199951172,
C=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC=CCC=C,0,0,0.5795454545454546,0.5795454545454546,0.00039768218994140625,
C=CC=CC=CC=CC=CC=CC(=C)CC=CC=CC=C,0,0,0.5476190476190477,0.5476190476190477,0.0003604888916015625,
C=CC=CC=CC=CC=CC(C)C=CC=CC=CC=CC=CCC=C,0,0,0.5955056179775281,0.5955056179775281,0.000423431396484375,
C=C=C(C)C=CC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5632183908045977,0.5632183908045977,0.00038123130798339844,
C=CC=CC=CCCC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5747126436781609,0.5747126436781609,0.0003771781921386719,
C=CCC(C)C=CC=CC=CC=CC=CC=CC=CC=CC=C(C)C=C,0,0,0.5483870967741935,0.5483870967741935,0.0004487037658691406,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)=C1CCC(C=C)C1,0,0,0.5578947368421052,0.5578947368421052,0.0004894733428955078,
