step,error
90,CC1=C2C3=C1C21CC=CC1C1=CC3=C1 (Mutation error)
90,CCC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
91,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
91,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
91,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
92,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
92,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
92,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
93,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
93,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
94,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
94,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
94,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
94,CC1=C2C3=C1C2C=CC(C)C1=CC3=C1 (Mutation error)
94,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
94,C1=C2C=C1C1C3=C4C2=C3C41 (Mutation error)
95,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
95,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
97,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
98,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
98,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
98,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
98,C1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
99,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
99,CC12C=CC3C4=C(C5=CC1=C5)C3=C42 (Mutation error)
99,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
99,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
100,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
100,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
101,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
101,C1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
101,CC1C=CC2(C)C3=CC2=C3C2=CC1=C2 (Mutation error)
102,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
103,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
103,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
