smiles,n_success_mut,n_failures_mut,rediscovery_C(=Cc1ccccc1)c1ccccc1,total,obj_computation_time,history_data
C1=CC(C=Cc2ccccc2)=CCC1,33,94,0.47368421052631576,0.47368421052631576,0.00025153160095214844,
C1=CC(CCC=Cc2ccccc2)=C1,0,0,0.43103448275862066,0.43103448275862066,0.00025391578674316406,
CC1=C=C1CC=Cc1ccccc1,0,0,0.38596491228070173,0.38596491228070173,0.00021982192993164062,
CC1=C(C)C(C=Cc2ccccc2)=C1,1,0,0.43859649122807015,0.43859649122807015,0.000247955322265625,
C(=Cc1ccccc1)C1=CC2CCC12,0,0,0.423728813559322,0.423728813559322,0.0002617835998535156,
C(=Cc1ccccc1)C1=CC23C=CC12C3,0,0,0.45,0.45,0.00030541419982910156,
CCC(c1ccccc1)c1ccccc1C,0,0,0.3968253968253968,0.3968253968253968,0.0002810955047607422,
C1=CCC(C=Cc2ccccc2)C=CC1,0,0,0.4032258064516129,0.4032258064516129,0.0002722740173339844,
CC1(C)C=C(C=Cc2ccccc2)CCC1,0,0,0.3968253968253968,0.3968253968253968,0.0002808570861816406,
C=C=CCC=Cc1ccccc1,0,0,0.375,0.375,0.00019097328186035156,
CC12C=CC(C=C1C=Cc1ccccc1)C2,0,0,0.43548387096774194,0.43548387096774194,0.00030517578125,
CC1=C(C=Cc2ccccc2)C(C)(C)C=C1,0,0,0.4262295081967213,0.4262295081967213,0.00027561187744140625,
c1ccc(CC2Cc3ccccc32)cc1,0,0,0.4032258064516129,0.4032258064516129,0.0002930164337158203,
CC(=Cc1ccccc1)C1=CC1,0,0,0.35714285714285715,0.35714285714285715,0.00020813941955566406,
C1=CC=CCCC=1C=Cc1ccccc1,0,0,0.45,0.45,0.0002675056457519531,
CCC1C=CC=C1C=Cc1ccccc1,12,11,0.4576271186440678,0.4576271186440678,0.0002636909484863281,
C(=Cc1ccccc1)C1=CCC2=CC12,0,0,0.4482758620689655,0.4482758620689655,0.0002715587615966797,
CC=C1C=C(C=Cc2ccccc2)CC1,0,0,0.4098360655737705,0.4098360655737705,0.00026154518127441406,
C1=CC2(C=Cc3ccccc3)C=C12,0,0,0.44642857142857145,0.44642857142857145,0.0002543926239013672,
CC1=C2C=CC(C=Cc3ccccc3)=C2C1,0,0,0.4126984126984127,0.4126984126984127,0.00030994415283203125,
CC1=C=CC(C=Cc2ccccc2)=C1,0,0,0.45614035087719296,0.45614035087719296,0.0002465248107910156,
CC12CC=CC1=C2C=Cc1ccccc1,0,0,0.43333333333333335,0.43333333333333335,0.0002646446228027344,
CC1(C)C=C1CC=Cc1ccccc1,0,0,0.39655172413793105,0.39655172413793105,0.0002434253692626953,
CC1=C(C=Cc2ccccc2)CC1C,0,0,0.41379310344827586,0.41379310344827586,0.00024819374084472656,
C(=CC1CCC2=CC21)c1ccccc1,0,0,0.3770491803278688,0.3770491803278688,0.0002608299255371094,
CC1=C=C(C=Cc2ccccc2)C1,0,0,0.43636363636363634,0.43636363636363634,0.00022172927856445312,
C(=Cc1ccccc1)Cc1ccc2cc1C2,0,0,0.43548387096774194,0.43548387096774194,0.0003237724304199219,
CC=C1C(C)=CCC=C1C=Cc1ccccc1,0,0,0.4,0.4,0.0003001689910888672,
C#CC1=C(C=Cc2ccccc2)C=C1,0,0,0.45614035087719296,0.45614035087719296,0.00024819374084472656,
CC1(C)C=CC(C=Cc2ccccc2)=CC1,0,0,0.4426229508196721,0.4426229508196721,0.00028443336486816406,
CCC1(C)C(C)=CC=C1C=Cc1ccccc1,0,0,0.40625,0.40625,0.00029540061950683594,
CC1C=C(C=Cc2ccccc2)CCC1,0,0,0.4098360655737705,0.4098360655737705,0.0002624988555908203,
C1=CC(=Cc2ccccc2)CC1,0,0,0.3684210526315789,0.3684210526315789,0.00022268295288085938,
CC1=CC=CC1(C)C=Cc1ccccc1,0,0,0.4166666666666667,0.4166666666666667,0.0002675056457519531,
CC1=C2C=CC1C(C=Cc1ccccc1)=C2,0,0,0.43548387096774194,0.43548387096774194,0.000301361083984375,
CCCCC=Cc1ccccc1,15,11,0.375,0.375,0.00019216537475585938,
CC1C=C(C=Cc2ccccc2)C1C,4,2,0.43859649122807015,0.43859649122807015,0.0002446174621582031,
CC1=CC=CCC1=Cc1ccccc1,0,0,0.36065573770491804,0.36065573770491804,0.0002524852752685547,
Cc1ccccc1C(C)Cc1ccccc1,0,0,0.3968253968253968,0.3968253968253968,0.00029540061950683594,
