rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_mean,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_med,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_min,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_max,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.05245553030150969,0.05063291139240506,0.0,0.2028985507246377,0.04114095198933241,0.05245553030150969,0.05063291139240506,0.0,0.2028985507246377,0.04114095198933241,480,10,1.0536999702453613,0,0,8,0,0,0,0,0
0.05328541219554852,0.05194805194805195,0.0,0.2028985507246377,0.04127067287372071,0.05328541219554852,0.05194805194805195,0.0,0.2028985507246377,0.04127067287372071,490,10,1.0751621723175049,0,0,4,0,0,0,0,0
0.05449720512756424,0.05194805194805195,0.0,0.2028985507246377,0.04228116871511876,0.05449720512756424,0.05194805194805195,0.0,0.2028985507246377,0.04228116871511876,500,10,1.100829839706421,0,0,8,0,0,0,0,0
0.05555770825457707,0.05194805194805195,0.0,0.2028985507246377,0.042927161379358654,0.05555770825457707,0.05194805194805195,0.0,0.2028985507246377,0.042927161379358654,510,10,1.124166488647461,0,0,4,0,0,0,0,0
0.05617456102543033,0.05194805194805195,0.0,0.2028985507246377,0.04292729203005958,0.05617456102543033,0.05194805194805195,0.0,0.2028985507246377,0.04292729203005958,520,10,1.1551294326782227,0,0,11,0,0,0,0,0
0.05739513806269775,0.05263157894736842,0.0,0.2028985507246377,0.04354415936036792,0.05739513806269775,0.05263157894736842,0.0,0.2028985507246377,0.04354415936036792,530,10,1.1884865760803223,0,0,16,0,0,0,0,0
0.05853118278018438,0.05263157894736842,0.0,0.2028985507246377,0.04416655029836714,0.05853118278018438,0.05263157894736842,0.0,0.2028985507246377,0.04416655029836714,540,10,1.216446876525879,0,0,13,0,0,0,0,0
0.059794821306635985,0.05333333333333334,0.0,0.22972972972972974,0.045247807120409135,0.059794821306635985,0.05333333333333334,0.0,0.22972972972972974,0.045247807120409135,550,10,1.2513501644134521,0,0,13,0,0,0,0,0
0.06078171035909813,0.05333333333333334,0.0,0.22972972972972974,0.04562161176451564,0.06078171035909813,0.05333333333333334,0.0,0.22972972972972974,0.04562161176451564,560,10,1.2793910503387451,0,0,6,0,0,0,0,0
0.06180646406539893,0.05333333333333334,0.0,0.22972972972972974,0.046270762303391694,0.06180646406539893,0.05333333333333334,0.0,0.22972972972972974,0.046270762303391694,570,10,1.3065357208251953,0,0,5,0,0,0,0,0
