rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_mean,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_med,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_min,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_max,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.48626351530093653,0.47435897435897434,0.43902439024390244,0.7272727272727273,0.04171229855993734,0.48626351530093653,0.47435897435897434,0.43902439024390244,0.7272727272727273,0.04171229855993734,26723,10,81.20960521697998,0,96,19,0,0,0,0,0
0.48656033241963664,0.475,0.43902439024390244,0.7272727272727273,0.041566202169523475,0.48656033241963664,0.475,0.43902439024390244,0.7272727272727273,0.041566202169523475,26833,10,81.61774587631226,0,100,30,0,0,0,0,0
0.4870963031923571,0.475,0.43902439024390244,0.7272727272727273,0.04142794858720457,0.4870963031923571,0.475,0.43902439024390244,0.7272727272727273,0.04142794858720457,26981,10,82.12009906768799,0,138,30,0,0,0,0,0
0.4875965623500641,0.475,0.44047619047619047,0.7272727272727273,0.04127980267725401,0.4875965623500641,0.475,0.44047619047619047,0.7272727272727273,0.04127980267725401,27120,10,82.58782935142517,0,129,36,0,0,0,0,0
0.48803950188288137,0.475,0.44155844155844154,0.7272727272727273,0.04112896334176335,0.48803950188288137,0.475,0.44155844155844154,0.7272727272727273,0.04112896334176335,27252,10,83.02971887588501,0,122,42,0,0,0,0,0
0.4883406937564033,0.47560975609756095,0.4430379746835443,0.7272727272727273,0.04097200380206223,0.4883406937564033,0.47560975609756095,0.4430379746835443,0.7272727272727273,0.04097200380206223,27451,10,83.67542600631714,0,189,53,0,0,0,0,0
0.48866681004478313,0.47560975609756095,0.4430379746835443,0.7272727272727273,0.040953050402260764,0.48866681004478313,0.47560975609756095,0.4430379746835443,0.7272727272727273,0.040953050402260764,27657,10,84.40363645553589,0,196,62,0,0,0,0,0
0.48917587974650484,0.47619047619047616,0.4444444444444444,0.7272727272727273,0.040806838901259156,0.48917587974650484,0.47619047619047616,0.4444444444444444,0.7272727272727273,0.040806838901259156,27805,10,84.89736843109131,0,138,33,0,0,0,0,0
0.48963540742017686,0.4791626471155701,0.4444444444444444,0.7272727272727273,0.040700776028707364,0.48963540742017686,0.4791626471155701,0.4444444444444444,0.7272727272727273,0.040700776028707364,27981,10,85.45846128463745,0,166,42,0,0,0,0,0
0.49034364893291343,0.48,0.4444444444444444,0.7272727272727273,0.04092927984189265,0.49034364893291343,0.48,0.4444444444444444,0.7272727272727273,0.04092927984189265,28093,10,85.84001684188843,0,102,28,0,0,0,0,0
0.49067656802952375,0.4805194805194805,0.4444444444444444,0.7272727272727273,0.04083397739509847,0.49067656802952375,0.4805194805194805,0.4444444444444444,0.7272727272727273,0.04083397739509847,28238,10,86.30890417098999,0,135,26,0,0,0,0,0
0.49123607498422267,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.04082249870801378,0.49123607498422267,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.04082249870801378,28391,10,86.81662249565125,0,143,50,0,0,0,0,0
