smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
Cc1cccc2cccc3c4cc1c4cccc1cccc2c13,3,179,0.7066666666666667,0.7066666666666667,0.0005497932434082031,
C=CC=c1c2cccc3cccc1c1c4cccc2cccc4c31,5,213,0.7236842105263158,0.7236842105263158,0.0006117820739746094,
Cc1cc2c3c4cccc5cccc5c1c2c1cccc4c3ccc1,1,69,0.6962025316455697,0.6962025316455697,0.0007128715515136719,
C=C=CC=c1c2cccc3cccc4c5cccc3c(ccc2)c4c15,4,79,0.6962025316455697,0.6962025316455697,0.0006375312805175781,
c1cc2cc3ccc4c5cccc6c(cccc(c1)c3c64)c25,0,2,0.75,0.75,0.000682830810546875,
c1ccc2c3cccc4ccc5c6cccc(c1)c4c6c2c53,0,190,0.75,0.75,0.0006346702575683594,
C=c1c(=C)c2c3cccc4cccc4c1c1cccc3c2ccc1,0,25,0.7333333333333333,0.7333333333333333,0.0005922317504882812,
c1ccc2c3ccc4c5cccc3c3c4c(c1)cccc5c23,1,98,0.7027027027027027,0.7027027027027027,0.0006768703460693359,
c1cc2cccc3c4c(c1)c1cccc5c(cccc14)c3c25,0,74,0.75,0.75,0.0006561279296875,
C=C=c1cccc2cccc3c1c1cccc4c(ccc1)c3c24,3,264,0.7297297297297297,0.7297297297297297,0.0005702972412109375,
Cc1c2cccc3c(c4cccc5c(ccc4)c3c15)c1cccc1c2,4,244,0.717948717948718,0.717948717948718,0.0007295608520507812,
c1cc2cccc3c(c1)c1c4ccc4c4ccccc1c3c24,0,211,0.7027027027027027,0.7027027027027027,0.000591278076171875,
C1#CC1=c1c2cccc3cccc1c1c4cccc2cccc4c31,1,146,0.7236842105263158,0.7236842105263158,0.0006380081176757812,
C=c1c2c(=CC)c3cccc3cccc3c4cccc2cccc4c13,5,199,0.7051282051282052,0.7051282051282052,0.0006883144378662109,
CC(C)=c1c2cccc3cccc4c5cccc6cccc5c4c1c6c32,1,35,0.7,0.7,0.0007240772247314453,
Cc1c(C)c2c3cccc4cccc1c2c1cccc2c(ccc1)c3c42,4,145,0.7,0.7,0.0006930828094482422,
Cc1c2ccccc3cccc4c1c2cccc1cccc3c14,2,175,0.7297297297297297,0.7297297297297297,0.0005443096160888672,
C1=CC(=c2c3cccc4cccc2c2c5cccc3cccc5c42)C=1,0,89,0.6962025316455697,0.6962025316455697,0.0006706714630126953,
CCc1cc2cccc3c1cccc1c3c3cccc4c(ccc3)c1c24,2,69,0.691358024691358,0.691358024691358,0.0007350444793701172,
c1ccc2c3ccc4c5cccc(c1)c2c(c1cccc31)c54,0,50,0.7027027027027027,0.7027027027027027,0.0006084442138671875,
C=CC=c1c2cccc3cccc2c2c1cccc1cccc1c32,4,85,0.7012987012987013,0.7012987012987013,0.0005812644958496094,
C=C1CC1=c1c2cccc3c(ccc2)c2c1c1cccc4c(ccc1)c2c34,4,103,0.6951219512195121,0.6951219512195121,0.0008378028869628906,
c1cc2cccc3c(c1)c1cccc4cccc4c2c(=C2C4CC24)c13,1,64,0.6962025316455697,0.6962025316455697,0.0007014274597167969,
C=Cc1c2cccc3c(ccc2)c2c4cccc(ccccc14)c32,4,159,0.7236842105263158,0.7236842105263158,0.0006096363067626953,
C1=CC1=c1c2cccc3cccc3c3cccc4cccc3c2c14,3,75,0.7012987012987013,0.7012987012987013,0.0006239414215087891,
c1cc2cccc3c4c2cccc2c5cccc(c4c1)c2c53,0,8,0.726027397260274,0.726027397260274,0.0006549358367919922,
C=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,1,141,0.7857142857142857,0.7857142857142857,0.0005617141723632812,
CC=C=c1c2cccc3c4cccc5cccc4c3c(ccc2)c15,2,86,0.7236842105263158,0.7236842105263158,0.000598907470703125,
C=C(C)C=c1c2cccc3cccc1c1c4cccc2cccc4c31,9,184,0.7051282051282052,0.7051282051282052,0.0006327629089355469,
C(=C1C#C1)=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,0,138,0.6962025316455697,0.6962025316455697,0.0006680488586425781,
c1cc2cccc3c(c1)c1cc4cccc1c2c43,1,266,0.7014925373134329,0.7014925373134329,0.0005714893341064453,
c1cc2cccc3c4ccc4c(c1)c1c4cccc5cccc4c1c3c25,4,169,0.725,0.725,0.0008106231689453125,
c1ccc2c3ccc4c5cccc3c3c5c(c1)cccc4c23,3,179,0.7027027027027027,0.7027027027027027,0.0006377696990966797,
c1cc2cccc3c(c1)c1c4cccc5c2c5c(ccc4)c31,1,137,0.8,0.8,0.00060272216796875,
CCc1cc2cccc3c(c4cccc5c(ccc4)c3c25)c2cccc12,4,138,0.691358024691358,0.691358024691358,0.0006897449493408203,
CC(C)=c1c2cccc3cccc4c2c1c1cccc2c(ccc1)c4c32,0,8,0.7,0.7,0.0006854534149169922,
CC1c2c3cccc4cccc5c(c31)c2cccc1cccc4c15,2,76,0.7012987012987013,0.7012987012987013,0.0005838871002197266,
Cc1ccccc2c3cccc4cccc5ccc3c4c(c1)c52,3,35,0.7066666666666667,0.7066666666666667,0.0006289482116699219,
c1ccc2c3c4cccc5c(c(c1)cc4)c2c5c1cccc13,0,58,0.726027397260274,0.726027397260274,0.0007033348083496094,
CC(C)c1c2cccc3ccccc4c1c1cccc2c(ccc1)c34,2,35,0.7051282051282052,0.7051282051282052,0.0006055831909179688,
c1cc2cccc3c(c1)c1c4cccc5cc6c(ccc6c5c31)c24,0,33,0.6923076923076923,0.6923076923076923,0.0007596015930175781,
C=Cc1c2ccccc3c1c1cccc4c(ccc2)c3c4ccc1,1,38,0.7012987012987013,0.7012987012987013,0.0006453990936279297,
CC=C=c1cccc2cccc3c1c1cccc4c(ccc1)c3c24,5,273,0.7012987012987013,0.7012987012987013,0.0005908012390136719,
C1=C(c2c3cccc4cccc5c(ccccc6cccc4c65)c23)C1,1,3,0.6962025316455697,0.6962025316455697,0.0006167888641357422,
